"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt","salario_medio","salario_medio_brancos","salario_medio_negros","razao_salario_medio"
"1200013","AC",2012,824,808,1191.69,1556.1,985.12,1.58
"1200013","AC",2014,909,884,1432.14,2030.49,1192.49,1.7
"1200013","AC",2016,859,856,1645.21,2237.71,1452.9,1.54
"1200054","AC",2012,305,286,1547.77,2029.76,1515.79,1.34
"1200054","AC",2014,342,303,1813.31,2427.23,1755.99,1.38
"1200054","AC",2016,119,118,1554.14,2411.07,1501.61,1.61
"1200104","AC",2012,1509,1500,1101.94,1135.23,1119.57,1.01
"1200104","AC",2014,1710,1707,1272.39,1445.92,1197.02,1.21
"1200104","AC",2016,2162,2159,1379.76,1788.31,1379.06,1.3
"1200138","AC",2012,988,975,945.39,799.17,832.09,0.96
"1200138","AC",2014,1152,1117,1184.81,1193.71,1028.62,1.16
"1200138","AC",2016,1246,1232,1275.58,1246.05,1121.35,1.11
"1200179","AC",2012,661,650,1173.18,1427.14,1160.59,1.23
"1200179","AC",2014,640,626,1431.51,1422.68,1451.71,0.98
"1200179","AC",2016,680,679,1746.26,2011.64,1750.11,1.15
"1200203","AC",2012,7471,5575,1125.57,1268.35,1052.81,1.2
"1200203","AC",2014,8154,5846,1301.13,1527.64,1212.54,1.26
"1200203","AC",2016,7696,5451,1482.31,1677.45,1376.85,1.22
"1200252","AC",2012,1180,671,1067.17,1291.18,944.18,1.37
"1200252","AC",2014,1314,872,1218.73,1408.1,1150.33,1.22
"1200252","AC",2016,1504,1463,1363.64,1910.93,1340.6,1.43
"1200302","AC",2012,1345,829,1226.19,2185.46,1114.46,1.96
"1200302","AC",2014,1423,922,1341.94,1753.62,1370.05,1.28
"1200302","AC",2016,1776,1303,1382.79,1748.69,1379.02,1.27
"1200328","AC",2012,502,447,1024.14,NA,1007.11,NA
"1200328","AC",2014,376,374,1173.91,1186.62,1136.38,1.04
"1200328","AC",2016,516,426,1270.05,1648.32,1224.51,1.35
"1200336","AC",2012,654,192,1464.01,1288,958.59,1.34
"1200336","AC",2014,908,254,1479.52,2057.83,1060.99,1.94
"1200336","AC",2016,734,190,1413.88,2033.61,1308.94,1.55
"1200344","AC",2012,419,418,1440.36,2316.96,1362.12,1.7
"1200344","AC",2014,424,404,1595.61,8719.43,1366.29,6.38
"1200344","AC",2016,877,872,1971.87,3808.79,1946.21,1.96
"1200351","AC",2012,962,203,1148.66,1042.5,894.29,1.17
"1200351","AC",2014,934,33,1176.55,1123.2,968.97,1.16
"1200351","AC",2016,803,50,1406.04,881.48,1018.66,0.87
"1200385","AC",2012,1154,570,1193.39,1301.12,922.55,1.41
