"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt"
"1200013","AC",2012,824,808
"1200013","AC",2014,909,884
"1200013","AC",2016,859,856
"1200054","AC",2012,305,286
"1200054","AC",2014,342,303
"1200054","AC",2016,119,118
"1200104","AC",2012,1509,1500
"1200104","AC",2014,1710,1707
"1200104","AC",2016,2162,2159
"1200138","AC",2012,988,975
"1200138","AC",2014,1152,1117
"1200138","AC",2016,1246,1232
"1200179","AC",2012,661,650
"1200179","AC",2014,640,626
"1200179","AC",2016,680,679
"1200203","AC",2012,7471,5575
"1200203","AC",2014,8154,5846
"1200203","AC",2016,7696,5451
"1200252","AC",2012,1180,671
"1200252","AC",2014,1314,872
"1200252","AC",2016,1504,1463
"1200302","AC",2012,1345,829
"1200302","AC",2014,1423,922
"1200302","AC",2016,1776,1303
"1200328","AC",2012,502,447
"1200328","AC",2014,376,374
"1200328","AC",2016,516,426
"1200336","AC",2012,654,192
"1200336","AC",2014,908,254
"1200336","AC",2016,734,190
"1200344","AC",2012,419,418
"1200344","AC",2014,424,404
"1200344","AC",2016,877,872
"1200351","AC",2012,962,203
"1200351","AC",2014,934,33
"1200351","AC",2016,803,50
"1200385","AC",2012,1154,570
"1200385","AC",2014,1343,789
"1200385","AC",2016,1188,650
"1200393","AC",2012,436,31
"1200393","AC",2014,446,85
"1200393","AC",2016,638,63
"1200401","AC",2012,99601,62150
"1200401","AC",2014,104457,62360
"1200401","AC",2016,98399,54739
"1200427","AC",2012,595,11
"1200427","AC",2014,732,26
"1200427","AC",2016,658,23
"1200435","AC",2012,205,205
"1200435","AC",2014,206,202
"1200435","AC",2016,253,250
"1200450","AC",2012,1747,1111
"1200450","AC",2014,1956,1227
"1200450","AC",2016,2212,1414
"1200500","AC",2012,2056,1172
"1200500","AC",2014,2084,2023
"1200500","AC",2016,1933,1927
"1200609","AC",2012,1504,1452
"1200609","AC",2014,1772,1760
"1200609","AC",2016,1752,1011
"1200708","AC",2012,743,743
"1200708","AC",2014,829,825
"1200708","AC",2016,712,712
"1200807","AC",2012,368,368
"1200807","AC",2014,1050,747
"1200807","AC",2016,1420,1142
"2700102","AL",2012,1717,935
"2700102","AL",2014,1278,683
"2700102","AL",2016,992,179
"2700201","AL",2012,1075,212
"2700201","AL",2014,1180,331
"2700201","AL",2016,989,337
"2700300","AL",2012,31262,26819
"2700300","AL",2014,36077,30690
"2700300","AL",2016,36836,31885
"2700409","AL",2012,5521,3883
"2700409","AL",2014,3302,1620
"2700409","AL",2016,4874,3198
"2700508","AL",2012,882,270
"2700508","AL",2014,989,380
"2700508","AL",2016,1022,450
"2700607","AL",2012,1484,1327
"2700607","AL",2014,1608,1459
"2700607","AL",2016,1645,1403
"2700706","AL",2012,1114,385
"2700706","AL",2014,1363,479
"2700706","AL",2016,1358,480
"2700805","AL",2012,553,37
"2700805","AL",2014,512,29
"2700805","AL",2016,524,39
"2700904","AL",2012,340,70
"2700904","AL",2014,314,65
"2700904","AL",2016,299,61
"2701001","AL",2012,5310,4357
"2701001","AL",2014,5297,4270
"2701001","AL",2016,2631,1456
